indicador,periodo,valor,region,dimension,categoria
DES,2010-01-01/P3M,420.7637076214404,11,tramo_edad,Y35T44
DES,2010-02-01/P3M,244.3851610146174,11,tramo_edad,Y35T44
DES,2010-03-01/P3M,531.4781399576052,11,tramo_edad,Y35T44
DES,2010-04-01/P3M,650.276185223249,11,tramo_edad,Y35T44
DES,2010-05-01/P3M,789.7086339398898,11,tramo_edad,Y35T44
DES,2010-06-01/P3M,658.9434604113048,11,tramo_edad,Y35T44
DES,2010-07-01/P3M,624.9408770149928,11,tramo_edad,Y35T44
DES,2010-08-01/P3M,432.0765589037912,11,tramo_edad,Y35T44
DES,2010-09-01/P3M,464.54244953640926,11,tramo_edad,Y35T44
DES,2010-10-01/P3M,441.180229194397,11,tramo_edad,Y35T44
DES,2010-11-01/P3M,470.6985553310776,11,tramo_edad,Y35T44
DES,2010-12-01/P3M,312.32194062133357,11,tramo_edad,Y35T44
DES,2011-01-01/P3M,403.1881740516195,11,tramo_edad,Y35T44
DES,2011-02-01/P3M,371.00123621131695,11,tramo_edad,Y35T44
DES,2011-03-01/P3M,408.3199358240491,11,tramo_edad,Y35T44
DES,2011-04-01/P3M,300.9866809705618,11,tramo_edad,Y35T44
DES,2011-05-01/P3M,419.9433769672432,11,tramo_edad,Y35T44
DES,2011-06-01/P3M,538.4727349816113,11,tramo_edad,Y35T44
DES,2011-07-01/P3M,528.6735254512197,11,tramo_edad,Y35T44
DES,2011-08-01/P3M,476.2725431298756,11,tramo_edad,Y35T44
DES,2011-09-01/P3M,457.77304998833586,11,tramo_edad,Y35T44
DES,2011-10-01/P3M,391.35138712559296,11,tramo_edad,Y35T44
DES,2011-11-01/P3M,400.36092848089675,11,tramo_edad,Y35T44
DES,2011-12-01/P3M,465.0714859882534,11,tramo_edad,Y35T44
DES,2012-01-01/P3M,765.5237369836036,11,tramo_edad,Y35T44
DES,2012-02-01/P3M,723.4071368961734,11,tramo_edad,Y35T44
DES,2012-03-01/P3M,801.8403717960165,11,tramo_edad,Y35T44
DES,2012-04-01/P3M,598.1947268087384,11,tramo_edad,Y35T44
DES,2012-05-01/P3M,748.8116975368101,11,tramo_edad,Y35T44
DES,2012-06-01/P3M,406.62320174416186,11,tramo_edad,Y35T44
DES,2012-07-01/P3M,421.0062062959089,11,tramo_edad,Y35T44
DES,2012-08-01/P3M,195.31583148931804,11,tramo_edad,Y35T44
DES,2012-09-01/P3M,291.84253045315694,11,tramo_edad,Y35T44
DES,2012-10-01/P3M,173.2351486881507,11,tramo_edad,Y35T44
DES,2012-11-01/P3M,202.4812182079257,11,tramo_edad,Y35T44
DES,2012-12-01/P3M,330.13121574425196,11,tramo_edad,Y35T44
DES,2013-01-01/P3M,414.79813467689695,11,tramo_edad,Y35T44
DES,2013-02-01/P3M,333.2787959383548,11,tramo_edad,Y35T44
DES,2013-03-01/P3M,269.00063111590936,11,tramo_edad,Y35T44
DES,2013-04-01/P3M,287.42547675515596,11,tramo_edad,Y35T44
DES,2013-05-01/P3M,469.5121185320008,11,tramo_edad,Y35T44
DES,2013-06-01/P3M,539.0928179031176,11,tramo_edad,Y35T44
DES,2013-07-01/P3M,651.9441425994314,11,tramo_edad,Y35T44
DES,2013-08-01/P3M,638.2850460321831,11,tramo_edad,Y35T44
DES,2013-09-01/P3M,434.7108383216722,11,tramo_edad,Y35T44
DES,2013-10-01/P3M,420.1837154277603,11,tramo_edad,Y35T44
DES,2013-11-01/P3M,276.6911008339888,11,tramo_edad,Y35T44
DES,2013-12-01/P3M,282.7834555130897,11,tramo_edad,Y35T44
DES,2014-01-01/P3M,265.7181786758526,11,tramo_edad,Y35T44
DES,2014-02-01/P3M,251.51924919516603,11,tramo_edad,Y35T44
DES,2014-03-01/P3M,261.61461904636997,11,tramo_edad,Y35T44
DES,2014-04-01/P3M,355.3936133549802,11,tramo_edad,Y35T44
DES,2014-05-01/P3M,302.59898830420275,11,tramo_edad,Y35T44
DES,2014-06-01/P3M,316.22504077562235,11,tramo_edad,Y35T44
DES,2014-07-01/P3M,133.10675915427112,11,tramo_edad,Y35T44
DES,2014-08-01/P3M,196.43716666318477,11,tramo_edad,Y35T44
DES,2014-09-01/P3M,158.5073217007144,11,tramo_edad,Y35T44
DES,2014-10-01/P3M,87.45655061765724,11,tramo_edad,Y35T44
DES,2014-11-01/P3M,77.31343823516428,11,tramo_edad,Y35T44
DES,2014-12-01/P3M,240.90601087859037,11,tramo_edad,Y35T44
DES,2015-01-01/P3M,406.64767877620915,11,tramo_edad,Y35T44
DES,2015-02-01/P3M,420.0610294002988,11,tramo_edad,Y35T44
DES,2015-03-01/P3M,286.6849163910077,11,tramo_edad,Y35T44
DES,2015-04-01/P3M,258.74063721093626,11,tramo_edad,Y35T44
DES,2015-05-01/P3M,220.36577882326864,11,tramo_edad,Y35T44
DES,2015-06-01/P3M,325.3520426480512,11,tramo_edad,Y35T44
DES,2015-07-01/P3M,237.0335095936341,11,tramo_edad,Y35T44
DES,2015-08-01/P3M,192.90369337528804,11,tramo_edad,Y35T44
DES,2015-09-01/P3M,208.2328315266313,11,tramo_edad,Y35T44
DES,2015-10-01/P3M,322.63967049785407,11,tramo_edad,Y35T44
DES,2015-11-01/P3M,495.0479222326126,11,tramo_edad,Y35T44
DES,2015-12-01/P3M,510.86095734196647,11,tramo_edad,Y35T44
DES,2016-01-01/P3M,438.07141497020456,11,tramo_edad,Y35T44
DES,2016-02-01/P3M,432.2021150288284,11,tramo_edad,Y35T44
DES,2016-03-01/P3M,480.67084359263487,11,tramo_edad,Y35T44
DES,2016-04-01/P3M,438.7290999599618,11,tramo_edad,Y35T44
