indicador,sexo,region,periodo,valor
DES,M,14,2010-01-01/P3M,8336.78077170914
DES,M,14,2010-02-01/P3M,5720.90486095027
DES,M,14,2010-03-01/P3M,6477.392368580976
DES,M,14,2010-04-01/P3M,6573.937051668031
DES,M,14,2010-05-01/P3M,8221.780403679113
DES,M,14,2010-06-01/P3M,8085.015804193742
DES,M,14,2010-07-01/P3M,7920.711701098477
DES,M,14,2010-08-01/P3M,7174.736161408315
DES,M,14,2010-09-01/P3M,6860.365057105836
DES,M,14,2010-10-01/P3M,6622.3757126510445
DES,M,14,2010-11-01/P3M,7161.255749786497
DES,M,14,2010-12-01/P3M,6637.223973433996
DES,M,14,2011-01-01/P3M,7212.896768468669
DES,M,14,2011-02-01/P3M,5542.510647259364
DES,M,14,2011-03-01/P3M,7798.4278799230415
DES,M,14,2011-04-01/P3M,7203.487304507486
DES,M,14,2011-05-01/P3M,8532.316803375203
DES,M,14,2011-06-01/P3M,8290.966621656853
DES,M,14,2011-07-01/P3M,7967.895710157008
DES,M,14,2011-08-01/P3M,6688.955431206346
DES,M,14,2011-09-01/P3M,6103.745375244346
DES,M,14,2011-10-01/P3M,6033.6025957712445
DES,M,14,2011-11-01/P3M,6157.498633905316
DES,M,14,2011-12-01/P3M,4547.215836360167
DES,M,14,2012-01-01/P3M,4343.317385432466
DES,M,14,2012-02-01/P3M,4383.394971321461
DES,M,14,2012-03-01/P3M,4766.639914808643
DES,M,14,2012-04-01/P3M,4854.213244420764
DES,M,14,2012-05-01/P3M,5521.054236882667
DES,M,14,2012-06-01/P3M,6355.237033962824
DES,M,14,2012-07-01/P3M,7687.722134896686
DES,M,14,2012-08-01/P3M,6571.646231038749
DES,M,14,2012-09-01/P3M,4807.288213148197
DES,M,14,2012-10-01/P3M,5296.497420475977
DES,M,14,2012-11-01/P3M,4930.170310816214
DES,M,14,2012-12-01/P3M,5699.923922396339
DES,M,14,2013-01-01/P3M,3533.043909238362
DES,M,14,2013-02-01/P3M,5709.808348945644
DES,M,14,2013-03-01/P3M,5284.259527443153
DES,M,14,2013-04-01/P3M,5814.7246273905
DES,M,14,2013-05-01/P3M,5749.453466731582
DES,M,14,2013-06-01/P3M,6343.795635503364
DES,M,14,2013-07-01/P3M,5502.73773664797
DES,M,14,2013-08-01/P3M,4512.839215261123
DES,M,14,2013-09-01/P3M,3676.8011308274545
DES,M,14,2013-10-01/P3M,4415.752111877688
DES,M,14,2013-11-01/P3M,4147.301785701309
DES,M,14,2013-12-01/P3M,3937.8806363511185
DES,M,14,2014-01-01/P3M,4365.642026793177
DES,M,14,2014-02-01/P3M,3849.2941342615977
DES,M,14,2014-03-01/P3M,4511.448084471076
DES,M,14,2014-04-01/P3M,3741.875117561835
DES,M,14,2014-05-01/P3M,4181.88316752277
DES,M,14,2014-06-01/P3M,4044.856982953439
DES,M,14,2014-07-01/P3M,4204.631752879802
DES,M,14,2014-08-01/P3M,4086.29710644671
DES,M,14,2014-09-01/P3M,4906.187209480956
DES,M,14,2014-10-01/P3M,4753.352167922227
DES,M,14,2014-11-01/P3M,4524.195852790849
DES,M,14,2014-12-01/P3M,3849.684979244584
DES,M,14,2015-01-01/P3M,3747.5386991680066
DES,M,14,2015-02-01/P3M,4025.292185807793
DES,M,14,2015-03-01/P3M,3661.2213163104657
DES,M,14,2015-04-01/P3M,3092.750933034326
DES,M,14,2015-05-01/P3M,3552.8464819355886
DES,M,14,2015-06-01/P3M,3809.772180445655
DES,M,14,2015-07-01/P3M,4008.933547264969
DES,M,14,2015-08-01/P3M,3717.763555430631
DES,M,14,2015-09-01/P3M,3244.7352093254094
DES,M,14,2015-10-01/P3M,3004.656813039028
DES,M,14,2015-11-01/P3M,2446.650877420895
DES,M,14,2015-12-01/P3M,2182.9781453813507
DES,M,14,2016-01-01/P3M,2783.0863916917874
DES,M,14,2016-02-01/P3M,3253.3732787855624
DES,M,14,2016-03-01/P3M,4007.053890560643
DES,M,14,2016-04-01/P3M,3905.940946096136
DES,M,14,2016-05-01/P3M,4730.390251480829
DES,M,14,2016-06-01/P3M,4707.491290367134
DES,M,14,2016-07-01/P3M,4827.001082372089
DES,M,14,2016-08-01/P3M,3897.620306680299
DES,M,14,2016-09-01/P3M,4636.929697816946
DES,M,14,2016-10-01/P3M,4602.231144851034
DES,M,14,2016-11-01/P3M,4842.773960660602
DES,M,14,2016-12-01/P3M,4044.1228811535975
DES,M,14,2017-01-01/P3M,4674.079853509882
DES,M,14,2017-02-01/P3M,4636.409478031196
DES,M,14,2017-03-01/P3M,5423.580081884936
DES,M,14,2017-04-01/P3M,5615.629354602315
DES,M,14,2017-05-01/P3M,5107.977873822294
DES,M,14,2017-06-01/P3M,3962.0669781466654
DES,M,14,2017-07-01/P3M,3794.349888846142
DES,M,14,2017-08-01/P3M,4035.861351892072
DES,M,14,2017-09-01/P3M,5285.131849200787
DES,M,14,2017-10-01/P3M,5254.7243779392775
DES,M,14,2017-11-01/P3M,4415.599402185391
DES,M,14,2017-12-01/P3M,3233.415503157428
DES,M,14,2018-01-01/P3M,3179.408851525594
DES,M,14,2018-02-01/P3M,4553.468692596317
DES,M,14,2018-03-01/P3M,4544.510936920351
DES,M,14,2018-04-01/P3M,3773.1084285536
DES,M,14,2018-05-01/P3M,4619.903540912381
DES,M,14,2018-06-01/P3M,5900.841239973144
DES,M,14,2018-07-01/P3M,6839.502597480298
DES,M,14,2018-08-01/P3M,6094.714141756651
DES,M,14,2018-09-01/P3M,5061.400445382088
