frecuencia,indicador,region,tramo_edad,periodo,valor
M,DES,11,Y35T44,2010-01-01/P3M,420.7637076214404
M,DES,11,Y35T44,2010-02-01/P3M,244.3851610146174
M,DES,11,Y35T44,2010-03-01/P3M,531.4781399576052
M,DES,11,Y35T44,2010-04-01/P3M,650.276185223249
M,DES,11,Y35T44,2010-05-01/P3M,789.7086339398898
M,DES,11,Y35T44,2010-06-01/P3M,658.9434604113048
M,DES,11,Y35T44,2010-07-01/P3M,624.9408770149928
M,DES,11,Y35T44,2010-08-01/P3M,432.0765589037912
M,DES,11,Y35T44,2010-09-01/P3M,464.54244953640926
M,DES,11,Y35T44,2010-10-01/P3M,441.180229194397
M,DES,11,Y35T44,2010-11-01/P3M,470.6985553310776
M,DES,11,Y35T44,2010-12-01/P3M,312.32194062133357
M,DES,11,Y35T44,2011-01-01/P3M,403.1881740516195
M,DES,11,Y35T44,2011-02-01/P3M,371.00123621131695
M,DES,11,Y35T44,2011-03-01/P3M,408.3199358240491
M,DES,11,Y35T44,2011-04-01/P3M,300.9866809705618
M,DES,11,Y35T44,2011-05-01/P3M,419.9433769672432
M,DES,11,Y35T44,2011-06-01/P3M,538.4727349816113
M,DES,11,Y35T44,2011-07-01/P3M,528.6735254512197
M,DES,11,Y35T44,2011-08-01/P3M,476.2725431298756
M,DES,11,Y35T44,2011-09-01/P3M,457.77304998833586
M,DES,11,Y35T44,2011-10-01/P3M,391.35138712559296
M,DES,11,Y35T44,2011-11-01/P3M,400.36092848089675
M,DES,11,Y35T44,2011-12-01/P3M,465.0714859882534
M,DES,11,Y35T44,2012-01-01/P3M,765.5237369836036
M,DES,11,Y35T44,2012-02-01/P3M,723.4071368961734
M,DES,11,Y35T44,2012-03-01/P3M,801.8403717960165
M,DES,11,Y35T44,2012-04-01/P3M,598.1947268087384
M,DES,11,Y35T44,2012-05-01/P3M,748.8116975368101
M,DES,11,Y35T44,2012-06-01/P3M,406.62320174416186
M,DES,11,Y35T44,2012-07-01/P3M,421.0062062959089
M,DES,11,Y35T44,2012-08-01/P3M,195.31583148931804
M,DES,11,Y35T44,2012-09-01/P3M,291.84253045315694
M,DES,11,Y35T44,2012-10-01/P3M,173.2351486881507
M,DES,11,Y35T44,2012-11-01/P3M,202.4812182079257
